Date,Last Price,Volume
7/11/2016,18226.93,80887408
7/8/2016,18146.74,93463488
7/7/2016,17895.88,81577184
7/6/2016,17918.62,93003920
7/5/2016,17840.62,103671696
7/1/2016,17949.37,82178760
6/30/2016,17929.99,133033400
6/29/2016,17694.68,106378704
6/28/2016,17409.72,112209104
6/27/2016,17140.24,138755808
6/24/2016,17400.75,239013296
6/23/2016,18011.07,98139928
6/22/2016,17780.83,89460072
6/21/2016,17829.73,85200032
6/20/2016,17804.87,99408944
6/17/2016,17675.16,248724608
6/16/2016,17733.1,91954080
6/15/2016,17640.17,94147480
6/14/2016,17674.82,93753640
6/13/2016,17732.48,101700704
6/10/2016,17865.34,90549184
6/9/2016,17985.19,69692416
6/8/2016,18005.05,71261904
6/7/2016,17938.28,78762576
6/6/2016,17920.33,71886480
6/3/2016,17807.06,82290808
6/2/2016,17838.56,75572272
6/1/2016,17789.67,78538656
5/31/2016,17787.2,147416000
5/27/2016,17873.22,73219904
5/26/2016,17828.29,68943856
5/25/2016,17851.51,79192400
5/24/2016,17706.05,86496160
5/23/2016,17492.93,87804568
5/20/2016,17500.94,112011904
5/19/2016,17435.4,95537200
5/18/2016,17526.62,79282448
5/17/2016,17529.98,103263600
5/16/2016,17710.71,88446880
5/13/2016,17535.32,86656656
5/12/2016,17720.5,88590728
5/11/2016,17711.12,87401120
5/10/2016,17928.35,75795032
5/9/2016,17705.91,85600576
5/6/2016,17740.63,80032288
5/5/2016,17660.71,81536176
5/4/2016,17651.26,95022480
5/3/2016,17750.91,97076144
5/2/2016,17891.16,80127080
4/29/2016,17773.64,136684608
4/28/2016,17830.76,100946304
4/27/2016,18041.55,109132000
4/26/2016,17990.32,94276000
4/25/2016,17977.24,83781320
4/22/2016,18003.75,134125296
4/21/2016,17982.52,103414000
4/20/2016,18096.27,100267000
4/19/2016,18053.6,90063904
4/18/2016,18004.16,89410040
4/15/2016,17897.46,118193600
4/14/2016,17926.43,84524224
4/13/2016,17908.28,91728384
4/12/2016,17721.25,81018048
4/11/2016,17556.41,107111904
4/8/2016,17576.96,79994240
4/7/2016,17541.96,90130968
4/6/2016,17716.05,99425440
4/5/2016,17603.32,115230200
4/4/2016,17737,85236760
4/1/2016,17792.75,104925296
3/31/2016,17685.09,102601400
3/30/2016,17716.66,79334752
3/29/2016,17633.11,86166176
3/28/2016,17535.39,70463120
3/24/2016,17515.73,84103104
3/23/2016,17502.59,84238496
3/22/2016,17582.57,95462096
3/21/2016,17623.87,84409992
3/18/2016,17602.3,321248608
3/17/2016,17481.49,118004304
3/16/2016,17325.76,118732800
3/15/2016,17251.53,92833552
3/14/2016,17229.13,96350576
3/11/2016,17213.31,123436000
3/10/2016,16995.13,117576000
3/9/2016,17000.36,116696400
3/8/2016,16964.1,108389200
3/7/2016,17073.95,100297296
3/4/2016,17006.77,106927400
3/3/2016,16943.9,91123696
3/2/2016,16899.32,104481200
3/1/2016,16865.08,105066096
2/29/2016,16516.5,126224800
2/26/2016,16639.97,98491696
2/25/2016,16697.29,94129856
2/24/2016,16484.99,93666968
2/23/2016,16431.78,98175688
2/22/2016,16620.66,102245696
2/19/2016,16391.99,134354592
2/18/2016,16413.43,104971696
2/17/2016,16453.83,124094704
2/16/2016,16196.41,142063200
2/12/2016,15973.84,132566400
2/11/2016,15660.18,172078896
2/10/2016,15914.74,122869000
2/9/2016,16014.38,127745504
2/8/2016,16027.05,165892704
2/5/2016,16204.97,139024992
2/4/2016,16416.58,131502200
2/3/2016,16336.66,141878000
2/2/2016,16153.54,126231104
2/1/2016,16449.18,114464096
1/29/2016,16466.3,217981408
1/28/2016,16069.64,131309296
1/27/2016,15944.46,138431392
1/26/2016,16167.23,121246304
1/25/2016,15885.22,123267696
1/22/2016,16093.51,145876896
1/21/2016,15882.68,145166208
1/20/2016,15766.74,191888496
1/19/2016,16016.02,144397504
1/15/2016,15988.08,239270000
1/14/2016,16379.05,159336096
1/13/2016,16151.41,153555200
1/12/2016,16516.22,117505200
1/11/2016,16398.57,127810896
1/8/2016,16346.45,141870704
1/7/2016,16514.1,176387296
1/6/2016,16906.51,120277400
1/5/2016,17158.66,105776304
1/4/2016,17148.94,148086208
12/31/2015,17425.03,93717456
12/30/2015,17603.87,59763700
12/29/2015,17720.98,69859984
12/28/2015,17528.27,59770000
12/24/2015,17552.17,40348500
12/23/2015,17602.61,92822752
12/22/2015,17417.27,91575608
12/21/2015,17251.62,114923200
12/18/2015,17128.55,344599392
12/17/2015,17495.84,115812496
12/16/2015,17749.09,123794704
12/15/2015,17524.91,123438800
12/14/2015,17368.5,142546592
12/11/2015,17265.21,134527904
12/10/2015,17574.75,107316896
12/9/2015,17492.3,122037400
12/8/2015,17568,113723000
12/7/2015,17730.51,99673504
12/4/2015,17847.63,137655200
12/3/2015,17477.67,127001400
12/2/2015,17729.68,102877904
12/1/2015,17888.35,103917296
11/30/2015,17719.92,155590896
11/27/2015,17798.49,46829488
11/25/2015,17813.39,82551056
11/24/2015,17812.19,127184600
11/23/2015,17792.68,134683504
